date,church,meditation,mindfulness,manifestation,chakras,rep
2018-02-01,80.0,5.0,1.0,0.0,1.0,2.0
2018-03-01,85.0,5.0,1.0,0.0,1.0,2.0
2018-04-01,87.0,5.0,1.0,0.0,0.0,2.0
2018-05-01,69.0,5.0,1.0,0.0,0.0,2.0
2018-06-01,75.0,5.0,1.0,0.0,0.0,2.0
2018-07-01,82.0,5.0,1.0,0.0,1.0,2.0
2018-08-01,78.0,5.0,1.0,0.0,0.0,2.0
2018-09-01,78.0,5.0,1.0,0.0,0.0,2.0
2018-10-01,76.0,5.0,1.0,0.0,0.0,2.0
2018-11-01,73.0,5.0,1.0,0.0,0.0,2.0
2018-12-01,83.0,5.0,1.0,0.0,0.0,2.0
2019-01-01,76.0,5.0,1.0,0.0,1.0,2.0
2019-02-01,75.0,5.0,1.0,0.0,0.0,2.0
2019-03-01,85.0,5.0,1.0,0.0,0.0,2.0
2019-04-01,100.0,5.0,1.0,0.0,0.0,2.0
2019-05-01,74.0,5.0,1.0,0.0,0.0,2.0
2019-06-01,77.0,5.0,1.0,0.0,1.0,2.0
2019-07-01,73.0,5.0,1.0,0.0,1.0,2.0
2019-08-01,73.0,5.0,1.0,0.0,0.0,2.0
2019-09-01,76.0,5.0,1.0,0.0,0.0,2.0
2019-10-01,75.0,5.0,1.0,0.0,0.0,2.0
2019-11-01,70.0,5.0,1.0,0.0,0.0,2.0
2019-12-01,86.0,5.0,1.0,0.0,0.0,2.0
2020-01-01,75.0,6.0,1.0,0.0,0.0,2.0
2020-02-01,77.0,5.0,1.0,0.0,0.0,2.0
2020-03-01,83.0,5.0,1.0,0.0,0.0,2.0
2020-04-01,80.0,6.0,1.0,0.0,1.0,2.0
2020-05-01,64.0,5.0,1.0,0.0,1.0,2.0
2020-06-01,68.0,5.0,1.0,1.0,1.0,2.0
2020-07-01,61.0,5.0,1.0,1.0,1.0,2.0
2020-08-01,64.0,5.0,1.0,1.0,1.0,2.0
2020-09-01,59.0,5.0,1.0,1.0,1.0,2.0
2020-10-01,61.0,5.0,1.0,1.0,1.0,2.0
2020-11-01,57.0,4.0,1.0,1.0,1.0,2.0
2020-12-01,63.0,5.0,1.0,1.0,1.0,2.0
2021-01-01,61.0,6.0,1.0,1.0,1.0,2.0
2021-02-01,67.0,5.0,1.0,1.0,1.0,2.0
2021-03-01,63.0,4.0,1.0,1.0,1.0,2.0
2021-04-01,71.0,5.0,1.0,1.0,1.0,2.0
2021-05-01,65.0,5.0,1.0,1.0,1.0,2.0
2021-06-01,65.0,4.0,1.0,1.0,1.0,2.0
2021-07-01,64.0,4.0,1.0,1.0,1.0,2.0
2021-08-01,66.0,4.0,1.0,1.0,1.0,2.0
2021-09-01,64.0,5.0,1.0,1.0,0.0,2.0
2021-10-01,68.0,4.0,1.0,1.0,0.0,2.0
2021-11-01,63.0,4.0,1.0,1.0,0.0,2.0
2021-12-01,74.0,4.0,1.0,1.0,0.0,2.0
2022-01-01,72.0,5.0,1.0,1.0,1.0,2.0
2022-02-01,70.0,5.0,1.0,1.0,1.0,2.0
2022-03-01,80.0,5.0,1.0,1.0,0.0,2.0
2022-04-01,81.0,5.0,1.0,1.0,0.0,2.0
2022-05-01,76.0,4.0,1.0,1.0,0.0,2.0
2022-06-01,73.0,4.0,1.0,1.0,0.0,2.0
2022-07-01,73.0,4.0,1.0,1.0,0.0,2.0
2022-08-01,71.0,4.0,1.0,1.0,0.0,2.0
2022-09-01,65.0,5.0,1.0,1.0,0.0,2.0
2022-10-01,71.0,4.0,1.0,1.0,0.0,2.0
2022-11-01,65.0,4.0,1.0,1.0,0.0,2.0
2022-12-01,72.0,4.0,1.0,1.0,0.0,2.0
2023-01-01,73.0,5.0,1.0,1.0,0.0,2.0
2023-02-01,76.0,5.0,1.0,1.0,0.0,2.0
2023-03-01,73.0,5.0,1.0,1.0,0.0,2.0
2023-04-01,84.0,4.0,1.0,1.0,0.0,2.0
2023-05-01,71.0,4.0,1.0,1.0,0.0,2.0
2023-06-01,78.0,4.0,1.0,1.0,0.0,2.0
2023-07-01,74.0,4.0,1.0,1.0,0.0,2.0
2023-08-01,70.0,4.0,1.0,1.0,0.0,2.0
2023-09-01,72.0,4.0,1.0,1.0,0.0,2.0
2023-10-01,73.0,4.0,1.0,1.0,0.0,2.0
2023-11-01,70.0,4.0,1.0,1.0,0.0,2.0
2023-12-01,79.0,4.0,1.0,1.0,0.0,2.0
2024-01-01,71.0,4.0,1.0,1.0,0.0,2.0
2024-02-01,80.0,4.0,1.0,1.0,0.0,2.0
2024-03-01,84.0,4.0,1.0,1.0,0.0,2.0
2024-04-01,71.0,4.0,1.0,1.0,0.0,2.0
2024-05-01,69.0,4.0,1.0,1.0,0.0,2.0
2024-06-01,77.0,3.0,1.0,1.0,0.0,2.0
2024-07-01,67.0,4.0,1.0,1.0,0.0,2.0
2024-08-01,71.0,4.0,1.0,1.0,0.0,2.0
2024-09-01,73.0,4.0,1.0,1.0,0.0,2.0
2024-10-01,69.0,4.0,1.0,1.0,0.0,2.0
2024-11-01,64.0,4.0,1.0,1.0,0.0,2.0
2024-12-01,76.0,3.0,1.0,1.0,0.0,2.0
2025-01-01,66.0,4.0,1.0,1.0,0.0,2.0
2025-02-01,71.0,4.0,1.0,1.0,0.0,2.0
2025-03-01,74.0,4.0,1.0,1.0,0.0,2.0
2025-04-01,88.0,4.0,1.0,1.0,0.0,2.0
2025-05-01,71.0,3.0,1.0,1.0,0.0,2.0
2025-06-01,77.0,4.0,1.0,1.0,0.0,2.0
2025-07-01,75.0,4.0,1.0,1.0,0.0,2.0
2025-08-01,79.0,4.0,1.0,1.0,0.0,2.0
2025-09-01,89.0,4.0,1.0,1.0,0.0,2.0
2025-10-01,79.0,4.0,1.0,1.0,0.0,2.0
2025-11-01,81.0,3.0,1.0,1.0,0.0,2.0
2025-12-01,87.0,4.0,1.0,1.0,0.0,2.0
2026-01-01,82.0,4.0,2.0,1.0,0.0,2.0
2026-02-01,94.0,6.0,4.0,1.0,0.0,2.0
2026-03-01,82.0,4.0,2.0,1.0,0.0,2.0
2026-04-01,88.0,5.0,2.0,1.0,0.0,2.0
2026-05-01,80.0,6.0,2.0,1.0,0.0,2.0
2026-06-01,79.0,6.0,3.0,1.0,0.0,2.0
2026-07-01,73.0,7.0,2.0,1.0,0.0,2.0
